Player	ECR / ADP	PASS_YD	PASS_TD	INT	RUSH_ATT	RUSH_YD	RUSH_TD	REC	REC_YD	REC_TD	Points
Josh Allen	3.01 / 2.11	3823.3	27.4	13.0	-	510.2	9.2	-	-	-	342.75
Patrick Mahomes	3.11 / 3.06	4287.1	33.2	10.1	-	376.5	1.8	-	-	-	332.53
Jalen Hurts	3.06 / 3.08	3611.9	22.1	11.0	-	567.5	9.9	-	-	-	327.03
Lamar Jackson	4.01 / 4.02	3324.4	22.9	8.5	-	721.3	5.1	-	-	-	310.31
Dak Prescott	6.08 / 7.02	4101.3	29.5	10.3	-	221.7	2.0	-	-	-	295.62
Cj Stroud	5.08 / 4.11	4193.9	27.8	9.7	-	183.8	2.4	-	-	-	292.34
Joe Burrow	6.06 / 6.03	4039.5	28.0	10.2	-	191.2	2.1	-	-	-	284.9
Anthony Richardson	5.05 / 5.03	3183.5	17.9	10.1	-	546.6	7.6	-	-	-	279.0
Jordan Love	6.12 / 7.03	3870.1	27.6	10.8	-	200.5	2.4	-	-	-	278.05
Kyler Murray	5.10 / 6.05	3505.6	20.6	10.4	-	476.9	4.6	-	-	-	277.11
Brock Purdy	8.01 / 8.07	3896.9	27.9	9.9	-	162.0	1.9	-	-	-	275.28
Trevor Lawrence	9.05 / 10.12	3809.1	21.9	12.5	-	306.4	3.5	-	-	-	266.6
Caleb Williams	8.07 / 9.01	3537.4	23.2	12.1	-	363.5	3.3	-	-	-	266.25
Kirk Cousins	10.06 / 12.02	3859.5	27.0	9.2	-	101.0	1.4	-	-	-	262.48
Christian Mccaffrey	1.01 / 1.01	-	-	-	272.4	1156.0	10.8	63.9	511.6	4.8	260.36
Jared Goff	9.04 / 9.08	4058.5	26.6	10.5	-	54.0	1.1	-	-	-	259.74
Justin Herbert	10.08 / 11.04	3656.8	22.5	9.6	-	263.4	2.7	-	-	-	259.61
Jayden Daniels	7.09 / 8.11	3162.3	17.9	12.9	-	549.6	5.2	-	-	-	258.45
Aaron Rodgers	11.11 / 12.01	3677.8	26.2	8.0	-	107.5	1.3	-	-	-	254.46
Tua Tagovailoa	9.01 / 9.09	4078.1	25.3	11.2	-	88.8	0.6	-	-	-	254.4
