Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Lamar Jackson	721.3	675.5	700.5	700.5	750.5	700.5	685.5	836.0	-
Jalen Hurts	567.5	550.5	550.5	525.5	600.5	575.5	550.5	619.8	-
Jayden Daniels	549.6	550.5	575.5	525.5	550.5	525.5	525.5	594.4	-
Anthony Richardson	546.6	550.5	525.5	525.5	525.5	525.5	525.5	648.3	-
Josh Allen	510.2	480.5	485.5	500.5	550.5	-	485.5	558.7	-
Kyler Murray	476.9	475.5	475.5	450.5	475.5	450.5	480.5	530.4	-
Daniel Jones	469.1	-	-	-	-	-	-	469.1	-
Taysom Hill	403.0	-	-	-	-	-	-	403.0	-
Deshaun Watson	385.2	-	-	-	-	-	-	385.2	-
Patrick Mahomes	376.5	-	-	-	-	-	-	376.5	-
Caleb Williams	363.5	-	-	-	-	-	-	363.5	-
Trevor Lawrence	306.4	-	-	-	-	-	-	306.4	-
Russell Wilson	297.3	-	-	-	-	-	-	297.3	-
Bo Nix	281.0	-	-	-	-	-	-	281.0	-
Justin Herbert	263.4	-	-	-	-	-	-	263.4	-
Bryce Young	235.4	-	-	-	-	-	-	235.4	-
Dak Prescott	221.7	-	-	-	-	-	-	221.7	-
Justin Fields	219.5	-	-	-	-	-	-	219.5	-
Drake Maye	206.4	-	-	-	-	-	-	206.4	-
Geno Smith	204.0	-	-	-	-	-	-	204.0	-
Jordan Love	200.5	-	-	-	-	-	-	200.5	-
Joe Burrow	191.2	-	-	-	-	-	-	191.2	-
Will Levis	185.2	-	-	-	-	-	-	185.2	-
Cj Stroud	183.8	-	-	-	-	-	-	183.8	-
Sam Darnold	173.2	-	-	-	-	-	-	173.2	-
Baker Mayfield	171.1	-	-	-	-	-	-	171.1	-
Brock Purdy	162.0	-	-	-	-	-	-	162.0	-
Gardner Minshew	123.5	-	-	-	-	-	-	123.5	-
Aaron Rodgers	107.5	-	-	-	-	-	-	107.5	-
Kirk Cousins	101.0	-	-	-	-	-	-	101.0	-
Jacoby Brissett	94.5	-	-	-	-	-	-	94.5	-
Tua Tagovailoa	88.8	-	-	-	-	-	-	88.8	-
Derek Carr	71.1	-	-	-	-	-	-	71.1	-
Matthew Stafford	67.8	-	-	-	-	-	-	67.8	-
Jared Goff	54.0	-	-	-	-	-	-	54.0	-
Sam Howell	39.0	-	-	-	-	-	-	39.0	-
Josh Johnson	37.0	-	-	-	-	-	-	37.0	-
Aidan Oconnell	36.6	-	-	-	-	-	-	36.6	-
Marcus Mariota	30.3	-	-	-	-	-	-	30.3	-
Joshua Dobbs	27.8	-	-	-	-	-	-	27.8	-
Taylor Heinicke	27.6	-	-	-	-	-	-	27.6	-
Mitchell Trubisky	26.7	-	-	-	-	-	-	26.7	-
Malik Willis	26.1	-	-	-	-	-	-	26.1	-
Jarrett Stidham	26.0	-	-	-	-	-	-	26.0	-
Jaren Hall	26.0	-	-	-	-	-	-	26.0	-
Hendon Hooker	25.7	-	-	-	-	-	-	25.7	-
Drew Lock	24.9	-	-	-	-	-	-	24.9	-
Tyson Bagent	24.4	-	-	-	-	-	-	24.4	-
Tyrod Taylor	24.0	-	-	-	-	-	-	24.0	-
Tyler Huntley	24.0	-	-	-	-	-	-	24.0	-
Jake Browning	23.5	-	-	-	-	-	-	23.5	-
Spencer Rattler	22.2	-	-	-	-	-	-	22.2	-
Jameis Winston	21.6	-	-	-	-	-	-	21.6	-
Kenny Pickett	21.5	-	-	-	-	-	-	21.5	-
Michael Penix	21.1	-	-	-	-	-	-	21.1	-
Dorian Thompson Robinson	21.0	-	-	-	-	-	-	21.0	-
Clayton Tune	20.8	-	-	-	-	-	-	20.8	-
Skylar Thompson	19.6	-	-	-	-	-	-	19.6	-
Mac Jones	18.9	-	-	-	-	-	-	18.9	-
Trey Lance	18.5	-	-	-	-	-	-	18.5	-
Nick Mullens	18.2	-	-	-	-	-	-	18.2	-
Zach Wilson	17.0	-	-	-	-	-	-	17.0	-
Tommy Devito	17.0	-	-	-	-	-	-	17.0	-
Joe Milton	17.0	-	-	-	-	-	-	17.0	-
Andy Dalton	16.6	-	-	-	-	-	-	16.6	-
Carson Wentz	15.5	-	-	-	-	-	-	15.5	-
Davis Mills	14.9	-	-	-	-	-	-	14.9	-
Mason Rudolph	14.5	-	-	-	-	-	-	14.5	-
Kyle Trask	13.5	-	-	-	-	-	-	13.5	-
Joe Flacco	13.3	-	-	-	-	-	-	13.3	-
Easton Stick	13.0	-	-	-	-	-	-	13.0	-
Stetson Bennett	13.0	-	-	-	-	-	-	13.0	-
Michael Pratt	12.0	-	-	-	-	-	-	12.0	-
Cooper Rush	11.0	-	-	-	-	-	-	11.0	-
Bailey Zappe	11.0	-	-	-	-	-	-	11.0	-
Jimmy Garoppolo	10.5	-	-	-	-	-	-	10.5	-
Jordan Travis	10.0	-	-	-	-	-	-	10.0	-
Kyle Allen	10.0	-	-	-	-	-	-	10.0	-
Case Keenum	8.0	-	-	-	-	-	-	8.0	-
Sean Clifford	8.0	-	-	-	-	-	-	8.0	-
Jake Haener	8.0	-	-	-	-	-	-	8.0	-
Tanner Mckee	8.0	-	-	-	-	-	-	8.0	-
Sam Ehlinger	8.0	-	-	-	-	-	-	8.0	-
Mike White	7.0	-	-	-	-	-	-	7.0	-
Sam Hartman	7.0	-	-	-	-	-	-	7.0	-
Devin Leary	0.0	-	-	-	-	-	-	0.0	-
