	vs ECR	PTS	PLAYER	ATTD	PASS_TD	PASS_YD	INT	RUSH_YD	REC	REC_YD	INC
QB1	'+2	19.4	Jayden Daniels	2.6	6.02	7.95	-1.1	3.91	-	-	,,
QB2	-1	19.3	Jalen Hurts	3.98	4.97	7.97	-0.98	3.34	-	-	,,
QB3	-1	17.8	Lamar Jackson	1.97	5.05	7.91	-1.17	4.04	-	-	,,
RB1	'+2	17.3	Devon Achane	5.17	-	-	-	6.49	2.34	3.31	,,
RB2	'+2	16.9	Joe Mixon	5.59	-	-	-	8.35	1.33	1.58	,,
RB3	-1	16.8	Saquon Barkley	5.31	-	-	-	9.1	1.04	1.31	,,
RB4	-3	16.5	Christian Mccaffrey	4.24	-	-	-	7.28	2.11	2.85	,,
QB4	'+6	16.4	Geno Smith	0.74	6.38	9.2	-1.25	1.27	-	-	,,
QB5	'+2	16.3	Patrick Mahomes	0.7	6.91	8.53	-1.04	1.17	-	-	,,
QB6	-1	16.1	Kyler Murray	1.83	5.13	7.54	-1.2	2.78	-	-	,,
QB7	-1	15.7	Bo Nix	1.57	5.54	7.8	-1.19	1.99	-	-	,,
QB8	'+3	15.7	Anthony Richardson	2.17	4.36	6.95	-1.69	3.89	-	-	,,
QB9	-1	15.2	Jared Goff	0.32	6.8	8.81	-0.92	0.2	-	-	,,
QB10	-6	15.2	Justin Herbert	1.01	5.01	9.01	-1.55	1.68	-	-	,,
QB11	'+2	15.0	Jordan Love	0.58	6.6	8.74	-1.45	0.57	-	-	,,
QB12	-3	15.0	Baker Mayfield	0.58	6.24	8.36	-1.22	1.07	-	-	,,
WR1	'+2	14.9	Aj Brown	2.93	-	-	-	-	3.11	8.87	,,
QB13	'+1	14.9	Cj Stroud	0.63	5.86	8.62	-1.14	0.91	-	-	,,
RB5	0	14.7	Derrick Henry	5.66	-	-	-	8.04	0.48	0.54	,,
QB14	'+3	14.7	Sam Darnold	0.69	5.56	8.46	-1.32	1.29	-	-	,,
RB6	'+3	14.5	Kyren Williams	5.03	-	-	-	6.93	1.22	1.32	,,
QB15	-3	14.5	Tua Tagovailoa	0.3	6.46	8.58	-1.12	0.27	-	-	,,
RB7	'+3	14.4	Josh Jacobs	4.56	-	-	-	6.9	1.42	1.48	,,
WR2	-1	14.3	Amon Ra St Brown	3.75	-	-	-	-	3.53	6.97	,,
QB16	-1	14.2	Drake Maye	1.24	4.61	7.45	-1.42	2.34	-	-	,,
RB8	-2	14.2	Kenneth Walker	4.47	-	-	-	6.06	1.68	1.98	,,
WR3	-1	14.0	Justin Jefferson	2.99	-	-	-	-	3.11	7.91	,,
RB9	-2	13.9	Jahmyr Gibbs	4.61	-	-	-	6.3	1.3	1.65	,,
RB10	-2	13.6	James Conner	4.28	-	-	-	6.67	1.28	1.33	,,
QB17	-1	13.5	Matthew Stafford	0.16	5.8	8.66	-1.45	0.31	-	-	,rush_yd,
RB11	'+7	13.1	Kareem Hunt	4.77	-	-	-	6.8	0.81	0.67	,,
WR4	'+1	13.0	Nico Collins	2.92	-	-	-	-	2.84	7.26	,,
QB18	0	12.6	Caleb Williams	0.85	4.1	6.8	-1.15	1.97	-	-	,,
RB12	'+1	12.5	Brian Robinson	4.76	-	-	-	6.59	0.6	0.59	,,
RB13	-2	12.5	David Montgomery	5.09	-	-	-	5.38	0.95	1.07	,,
WR5	-1	12.2	Puka Nacua	2.19	-	-	-	-	3.1	6.9	,,
WR6	0	12.1	Cooper Kupp	2.36	-	-	-	-	3.39	6.35	,,
WR7	0	11.8	Tyreek Hill	2.91	-	-	-	-	2.66	6.27	,,
RB14	-2	11.7	Jonathan Taylor	3.61	-	-	-	6.26	0.9	0.96	,,
WR8	'+1	11.7	Ceedee Lamb	1.99	-	-	-	-	3.05	6.66	,,
WR9	'+5	11.7	Ladd Mcconkey	2.5	-	-	-	-	2.67	6.49	,,
TE1	0	11.5	Travis Kelce	2.93	-	-	-	-	3.07	5.45	,,
RB15	0	11.4	Aaron Jones	2.99	-	-	-	5.7	1.27	1.42	,,
RB16	'+6	11.2	Tony Pollard	2.32	-	-	-	5.63	1.7	1.59	,,
QB19	'+1	11.0	Will Levis	0.84	3.73	6.35	-1.85	1.89	-	-	,,
WR10	-2	10.9	Dk Metcalf	2.25	-	-	-	-	2.39	6.27	,,
RB17	-1	10.8	Rhamondre Stevenson	2.92	-	-	-	5.25	1.37	1.28	,,
RB18	'+3	10.7	Jk Dobbins	3.52	-	-	-	4.61	1.22	1.37	,,
QB20	'+3	10.7	Gardner Minshew	0.35	3.96	7.52	-1.52	0.38	-	-	,,
TE2	0	10.7	Brock Bowers	1.59	-	-	-	-	3.28	5.79	,,
RB19	-5	10.6	Tyrone Tracy	2.64	-	-	-	5.95	0.91	1.14	,,
RB20	-1	10.6	Chuba Hubbard	2.65	-	-	-	5.03	1.57	1.36	,,
WR11	'+4	10.6	Zay Flowers	2.22	-	-	-	-	2.53	5.85	,,
RB21	-1	10.5	Bucky Irving	2.51	-	-	-	5.36	1.27	1.35	,,
WR12	'+6	10.5	Jaxon Smith Njigba	2.08	-	-	-	-	2.98	5.4	,,
QB21	'+1	10.4	Tommy Devito	1.26	3.37	5.48	-1.53	1.79	-	-	,,
WR13	'+3	10.3	Courtland Sutton	2.16	-	-	-	-	2.41	5.74	,,
WR14	-2	10.3	Terry Mclaurin	2.47	-	-	-	-	2.07	5.72	,,
WR15	-4	10.0	Mike Evans	2.84	-	-	-	-	2.07	5.1	,,
WR16	-6	10.0	Malik Nabers	1.6	-	-	-	-	2.78	5.6	,,
RB22	'+1	9.9	Dandre Swift	2.05	-	-	-	5.09	1.3	1.49	,,
QB22	'+7	9.8	Brandon Allen	0.48	4.1	6.24	-1.42	0.38	-	-	,,
QB23	'+1	9.8	Cooper Rush	0.22	3.73	6.94	-1.85	0.74	-	-	,rush_yd,
WR17	'+5	9.7	Calvin Ridley	1.49	-	-	-	-	2.37	5.8	,,
RB23	'+2	9.4	Rico Dowdle	2.2	-	-	-	4.79	1.19	1.25	,,
TE3	0	9.4	Trey Mcbride	1.68	-	-	-	-	2.68	5.06	,,
WR18	'+3	9.3	Marvin Harrison	2.17	-	-	-	-	2.08	5.04	,,
WR19	'+1	9.3	Jayden Reed	2.3	-	-	-	-	2.03	4.93	,,
TE4	'+1	9.2	Cade Otton	2.02	-	-	-	-	2.58	4.64	,,
RB24	0	9.2	Rachaad White	2.3	-	-	-	3.64	1.58	1.71	,,
WR20	-3	9.2	Deebo Samuel	1.89	-	-	-	1.24	1.9	4.17	,,
WR21	'+7	9.0	Jakobi Meyers	1.44	-	-	-	-	2.67	4.93	,,
WR22	'+1	8.9	Josh Downs	1.41	-	-	-	-	2.23	5.23	,,
RB25	'+1	8.8	Javonte Williams	2.29	-	-	-	3.74	1.35	1.44	,,
WR23	'+3	8.6	Deandre Hopkins	2.06	-	-	-	-	2.04	4.5	,,
WR24	'+1	8.5	Tank Dell	1.66	-	-	-	-	2.1	4.76	,,
WR25	'+4	8.3	Dj Moore	1.36	-	-	-	0.03	2.4	4.55	,,
WR26	-7	8.2	Jauan Jennings	1.37	-	-	-	-	2.05	4.81	,,
QB24	'+1	8.2	Bryce Young	0.47	3.04	5.1	-1.47	1.05	-	-	,,
RB26	'+14	8.1	Ameer Abdullah	2.05	-	-	-	3.36	1.3	1.35	,,
TE5	'+5	8.0	Dallas Goedert	1.21	-	-	-	-	2.28	4.51	,,
WR27	0	8.0	Quentin Johnston	2.05	-	-	-	-	1.0	4.95	,,
WR28	'+10	7.9	Michael Pittman	1.41	-	-	-	-	1.96	4.57	,,
RB27	0	7.9	Austin Ekeler	2.2	-	-	-	2.39	1.35	1.98	,,
TE6	'+2	7.9	Hunter Henry	1.35	-	-	-	-	2.23	4.32	,,
TE7	0	7.7	Will Dissly	1.44	-	-	-	-	2.19	4.08	,,
TE8	'+1	7.7	Jonnu Smith	1.72	-	-	-	-	2.03	3.94	,,
WR29	'+1	7.5	Jaylen Waddle	1.77	-	-	-	-	1.71	4.0	,,
WR30	'+2	7.5	Rome Odunze	1.1	-	-	-	-	1.86	4.5	,,
WR31	-7	7.4	Jameson Williams	1.78	-	-	-	-	1.47	4.19	,,
WR32	'+3	7.3	Romeo Doubs	1.6	-	-	-	-	1.75	3.97	,,
WR33	'+1	7.2	Christian Watson	1.57	-	-	-	-	1.58	4.07	,,
WR34	'+6	7.0	Demario Douglas	1.17	-	-	-	-	2.0	3.88	,,
TE9	-5	7.0	George Kittle	1.34	-	-	-	-	1.86	3.77	,,
WR35	'+2	6.9	Keenan Allen	1.01	-	-	-	-	2.03	3.84	,,
TE10	'+2	6.8	Sam Laporta	1.53	-	-	-	-	1.8	3.47	,,
WR36	'+7	6.8	Tyler Lockett	1.28	-	-	-	-	1.72	3.77	,,
WR37	'+2	6.8	Wandale Robinson	1.01	-	-	-	0.02	2.12	3.62	,,
TE11	0	6.7	Tj Hockenson	1.2	-	-	-	-	1.98	3.55	,,
WR38	'+3	6.7	Jordan Addison	1.31	-	-	-	-	1.6	3.81	,,
WR39	'+7	6.7	Noah Brown	1.47	-	-	-	-	1.51	3.7	,,
WR40	'+5	6.6	Rashod Bateman	1.43	-	-	-	-	1.53	3.59	,,
WR41	-5	6.4	Xavier Worthy	1.68	-	-	-	0.18	1.42	3.1	,,
TE12	'+1	6.3	Mark Andrews	1.54	-	-	-	-	1.55	3.2	,,
WR42	'+17	6.3	Adam Thielen	0.94	-	-	-	-	2.05	3.27	,rec,
