EV	EV Book	Imp	Player	Prop	O/U	FD	DK	MGM	BV	CZ	Kambi/BR	PN	bet365	ESPN	Circa
404.1	3000 365	3%	Fernando Tatis	h	o 199.5	-	'+350	-	-	-	400	-	'+3000	-	-
254.3	2200 365	4%	Elly De La Cruz	h	o 199.5	-	'+400	-	'+380	-	400	-	'+2200	-	-
205.3	3300 365	3%	Shohei Ohtani	sb	o 59.5	'+1060	'+400	-	-	-	-	-	'+3300	-	-
201.6	1200 365	8%	Shohei Ohtani	h	o 199.5	-	'+260	-	'+250	-	275	-	'+1200	-	-
199.3	1500 365	6%	Julio Rodriguez	h	o 199.5	-	'+330	-	-	-	325	-	'+1500	-	-
136.3	1400 365	7%	Francisco Lindor	h	o 199.5	-	'+370	-	-	-	400	-	'+1400	-	-
133.5	2200 365	4%	Shohei Ohtani	rbi	o 149.5	-	'+550	-	'+550	-	-	-	'+2200	-	-
121.3	850 365	11%	Shohei Ohtani	sb	o 49.5	'+600	'+180	-	-	-	200	-	'+850	-	-
99.9	900 365	10%	Freddie Freeman	h	o 199.5	-	'+320	-	'+300	-	300	-	'+900	-	-
94.1	1100 365	8%	Rafael Devers	h	o 199.5	-	'+370	-	'+360	-	400	-	'+1100	-	-
92.4	1100 365	8%	Jackson Merrill	h	o 199.5	-	'+360	-	-	-	400	-	'+1100	-	-
69.5	1100 365	8%	Ketel Marte	h	o 199.5	-	'+425	-	'+400	-	450	-	'+1100	-	-
65.9	850 365	11%	Mookie Betts	h	o 199.5	-	'+350	-	'+350	-	350	-	'+850	-	-
60.5	1200 365	8%	Juan Soto	h	o 199.5	-	'+450	-	-	-	500	-	'+1200	-	-
55.8	270 365	27%	Shohei Ohtani	sb	o 39.5	'+168	-120	-	-	-	-	-	'+270	'+120	-
55.7	360 365	22%	Fernando Tatis	hr	o 39.5	'+255	'+110	-	-	-	-	-	'+360	-	-
52.8	425 365	19%	Vladimir Guerrero	h	o 199.5	-	'+200	-	-	-	200	-	'+425	-	-
50.7	680 FD	13%	Bobby Witt	sb	o 49.5	'+680	'+310	-	-	-	325	-	-	-	-
48.5	175 365	36%	Xavier Edwards	sb	o 39.5	-160	-120	-	-	-	-	-	'+175	-135	-
41.3	1600 365	6%	Fernando Tatis	hr	o 49.5	'+900	'+475	-	-	-	-	-	'+1600	-	-
37.0	200 365	33%	Mike Trout	hr	o 29.5	'+126	-125	-	-	-	-	-	'+200	'+110	-
36.9	330 FD	23%	Carlos Rodon	k	o 199.5	'+330	'+155	-	-	-	175	-	'+210	-	-
32.8	340 FD	23%	Kevin Gausman	k	o 199.5	'+340	'+180	-	-	-	185	-	'+210	-	-
30.2	680 FD	13%	Jazz Chisholm	sb	o 49.5	'+680	'+290	-	-	-	325	-	'+550	-	-
30.1	360 FD	22%	Corbin Carroll	sb	o 49.5	'+360	'+170	-	-	-	175	-	'+325	'+200	-
29.1	450 FD	18%	Marcell Ozuna	hr	o 39.5	'+450	'+230	-	-	-	-	-	'+290	-	-
29.0	255 FD	28%	Luis Robert	hr	o 29.5	'+255	'+125	-	-	-	-	-	'+175	-	-
25.0	340 365	23%	Hunter Greene	k	o 199.5	'+172	-	-	'+250	-	-	-	'+340	-	-
24.5	480 FD	17%	Victor Robles	sb	o 49.5	'+480	'+270	-	-	-	300	-	-	-	-
21.7	350 BV	22%	Corbin Burnes	k	o 199.5	'+330	'+185	-	'+350	-	175	-	'+225	-	-
21.3	300 BR	25%	Xavier Edwards	sb	o 49.5	'+200	'+180	-	-	-	300	-	-	-	-
21.1	850 365	11%	Aaron Judge	h	o 199.5	-	'+450	-	-	-	475	-	'+850	-	-
20.1	104 FD	49%	Shohei Ohtani	sb	o 29.5	'+104	-265	-	-	-	-	-	-115	-	-
19.8	550 DK	15%	Adley Rutschman	hr	o 29.5	'+370	'+550	-	-	-	-	-	'+300	-	-
17.5	600 365	14%	Jose Ramirez	h	o 199.5	-	'+370	-	'+370	-	350	-	'+600	-	-
17.4	154 FD	39%	Blake Snell	k	o 199.5	'+154	-120	-	'+140	-	100	-	-110	-	-
15.5	170 365	37%	Chris Sale	k	o 199.5	'+148	-120	-	'+145	-	100	-	'+170	-	-
15.0	275 365	27%	Juan Soto	hr	o 39.5	'+200	'+165	-	-	-	-	-	'+275	'+200	-
15.0	360 FD	22%	Brice Turang	sb	o 49.5	'+360	'+230	-	-	-	250	-	-	-	-
14.9	-155 365	61%	Juan Soto	hr	o 29.5	-260	-340	-	-	-	-	-	-155	-	-
14.5	180 ESPN	36%	Julio Rodriguez	hr	o 29.5	'+128	-115	-	-	-	-	-	'+175	'+180	-
14.1	600 BV	14%	Shota Imanaga	k	o 199.5	'+500	-	-	'+600	-	-	-	'+290	-	-
13.3	186 FD	35%	Victor Robles	sb	o 39.5	'+186	'+120	-	-	-	-	-	-	'+140	-
13.1	240 BR	29%	NYY	playoffs	u  	-215/+172	-250/+200	-	-230/+170	-195/165	-335/240	-	-	-	-
12.7	220 365	31%	Elly De La Cruz	hr	o 29.5	'+134	'+175	-	-	-	-	-	'+220	'+160	-
12.5	199 PN	33%	Shohei Ohtani	mvp	o  	-	-	-	-	160	125	199	-	-	-
12.4	300 DK	25%	CIN	playoffs	o  	'+250/-325	'+300/-400	-	'+210/-300	230/-290	185/-240	-	-	-	-
12.0	100 FD	50%	Jack Flaherty	k	o 149.5	'+100/-122	-175	-	-	-	-	-	-130	-	-
